year,indicator,channel_code,mapped_name,share
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,2.4231429784626862e-06
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,7.149424421036817e-05
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.04408908282073582
2015,multilateral_purpose_spending_shares,47122,global alliance for vaccines and immunization,0.0784959516621323
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.001780185690235647
2015,multilateral_purpose_spending_shares,,,0.00034575331353240037
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.00014222751550131265
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.007692808381531611
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.007782056215070773
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0002601451418782986
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.00010305468848547443
2015,multilateral_purpose_spending_shares,44002,international development association,0.0010059381212697695
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,6.71947245858143e-05
2015,multilateral_purpose_spending_shares,,,0.00016743093092980938
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0014800761952187328
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.016622929868565044
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,1.7148388348987746e-05
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0008339628004960702
2015,multilateral_purpose_spending_shares,44002,international development association,0.0034958182549564938
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.2795808609518569
2015,multilateral_purpose_spending_shares,41114,united nations development programme,8.618589599140725e-05
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.00033231224076338023
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.014518670428289313
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,3.3810354842814774e-06
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0006813532904332372
2015,multilateral_purpose_spending_shares,44002,international development association,0.0010175041402295212
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.16922308521424462
